_norm_name,학교명,위도,경도,주소,SCHUL_NM,SD_SCHUL_CODE,HS_SC_NM,is_general_high_neis,학생수계,학급수계,2학년학생수,3학년학생수,교사수_알리미,교원총계,일반교사,일반교실,교과교실,특별교실,컴퓨터실,멀티미디어실,체육관,강당,진로상담실,is_general_high
계룡디지텍고,계룡디지텍고등학교,36.33762549,127.4344749,대전광역시 동구 소랑길 64,계룡디지텍고등학교,7430324,특성화고,False,339,27,82,99,51,57,15,21.0,3.0,4,0.0,23.0,2.0,1.0,1.0,False
남대전고,남대전고등학교,36.31074837,127.4278195,대전광역시 중구 보문로111번길 63,남대전고등학교,7430046,일반고,True,625,30,217,238,54,60,33,30.0,8.0,5,1.0,1.0,1.0,0.0,1.0,True
대덕고,대덕고등학교,36.38757339,127.3816844,대전광역시 유성구 대덕대로556번길 158,대덕고등학교,7430030,일반고,True,549,31,188,196,58,73,42,31.0,6.0,9,2.0,0.0,1.0,1.0,1.0,True
대덕소프트웨어마이스터고,대덕소프트웨어마이스터고등학교,36.39202633,127.3630148,대전광역시 유성구 가정북로 76,대덕소프트웨어마이스터고등학교,7430310,특목고,False,181,12,60,57,31,38,18,12.0,10.0,6,0.0,1.0,1.0,1.0,1.0,False
대전가오고,대전가오고등학교,36.3106602,127.4544751,대전광역시 동구 신기로 71,대전가오고등학교,7430241,일반고,True,670,27,213,235,50,57,30,27.0,4.0,5,1.0,0.0,2.0,0.0,0.0,True
대전고,대전고등학교,36.32243054,127.423386,대전광역시 중구 대흥로 110,대전고등학교,7430031,자율고,True,935,38,304,298,71,89,52,2.0,44.0,7,2.0,0.0,2.0,0.0,3.0,True
대전과학고,대전과학고등학교,36.37419466,127.3714358,대전광역시 유성구 과학로 46,대전과학고등학교,7430032,특목고,False,284,18,92,96,55,66,35,6.0,14.0,79,1.0,0.0,1.0,1.0,2.0,False
대전관저고,대전관저고등학교,36.31080711,127.3377631,대전광역시 서구 관저북로 94,대전관저고등학교,7430033,일반고,True,710,28,229,254,52,65,36,28.0,5.0,8,1.0,0.0,1.0,0.0,0.0,True
대전괴정고,대전괴정고등학교,36.34040306,127.3788431,대전광역시 서구 가장로 15,대전괴정고등학교,7430237,일반고,True,789,32,261,286,59,68,41,32.0,4.0,6,1.0,0.0,1.0,0.0,1.0,True
대전구봉고,대전구봉고등학교,36.29557493,127.3310026,대전광역시 서구 관저서로 36,대전구봉고등학교,7430150,일반고,True,740,29,237,263,55,70,35,29.0,9.0,7,1.0,0.0,1.0,0.0,3.0,True
대전국제통상고,대전국제통상고등학교,36.31386261,127.4075368,대전광역시 중구 서문로 47,대전국제통상고등학교,7430252,특성화고,False,286,28,77,90,51,60,24,28.0,3.0,14,9.0,0.0,1.0,0.0,1.0,False
대전노은고,대전노은고등학교,36.36939669,127.3232157,대전광역시 유성구 노은동로 99,대전노은고등학교,7430143,자율고,True,633,25,208,206,47,58,30,25.0,0.0,16,1.0,0.0,1.0,0.0,1.0,True
대전대성고,대전대성고등학교,36.331971,127.4070779,대전광역시 중구 목동로 23,대전대성고등학교,7430325,자율고,True,1012,31,338,317,58,64,20,31.0,3.0,4,0.0,1.0,1.0,0.0,1.0,True
대전대성여자고,대전대성여자고등학교,36.3377246,127.4405277,대전광역시 동구 대성2길 20,대전대성여자고등학교,7430326,특성화고,False,581,34,194,183,61,67,17,34.0,0.0,22,0.0,0.0,2.0,0.0,1.0,False
대전대신고,대전대신고등학교,36.30895881,127.3800491,대전광역시 서구 오량1길 98,대전대신고등학교,7430048,자율고,True,1039,30,349,337,56,62,37,31.0,0.0,30,1.0,0.0,1.0,1.0,1.0,True
대전도시과학고,대전도시과학고등학교,36.29751392,127.3199445,대전광역시 유성구 진잠로42번길 35,대전도시과학고등학교,7430351,특성화고,False,271,29,67,90,59,69,32,29.0,40.0,6,0.0,1.0,1.0,1.0,1.0,False
대전도안고,대전도안고등학교,36.33692213,127.3373195,대전광역시 유성구 원신흥남로 51,대전도안고등학교,7430290,일반고,True,943,35,309,330,66,75,46,34.0,7.0,5,1.0,0.0,1.0,0.0,1.0,True
